round,selected_tw_weight,objective,travel,tw_penalty,delta_from_prev
1,0.1,162612.0,42.0,162570.0,0.0
2,0.1,179494.0,44.0,179450.0,16882.0
3,0.5,175554.0,44.0,175510.0,-3940.0
4,2.0,193436.0,46.0,193390.0,17882.0
