stage,multiplier,P,seed,feasible_raw,row_violations,col_violations,travel,gap_vs_2opt_ratio,gap_vs_2opt_pct
B,15.0,570.0,218,True,0,0,59.0,1.7878787878787878,78.78787878787878
B,15.0,570.0,219,True,0,0,59.0,1.7878787878787878,78.78787878787878
B,15.0,570.0,206,True,0,0,60.0,1.8181818181818181,81.81818181818183
B,15.0,570.0,217,True,0,0,60.0,1.8181818181818181,81.81818181818183
B,15.0,570.0,220,True,0,0,60.0,1.8181818181818181,81.81818181818183
B,15.0,570.0,207,True,0,0,61.0,1.8484848484848484,84.84848484848484
B,15.0,570.0,216,True,0,0,63.0,1.9090909090909092,90.9090909090909
B,15.0,570.0,221,True,0,0,64.0,1.9393939393939394,93.93939393939394
B,15.0,570.0,215,True,0,0,65.0,1.9696969696969697,96.96969696969697
B,15.0,570.0,223,True,0,0,65.0,1.9696969696969697,96.96969696969697
B,15.0,570.0,224,True,0,0,66.0,2.0,100.0
B,15.0,570.0,212,True,0,0,67.0,2.0303030303030303,103.03030303030303
B,15.0,570.0,205,True,0,0,70.0,2.121212121212121,112.12121212121211
B,15.0,570.0,210,True,0,0,72.0,2.1818181818181817,118.18181818181819
