round,selected_tw_weight,objective,travel,tw_penalty,delta_from_prev
1,5.0,207427.0,47.0,207380.0,0.0
2,0.1,204156.0,46.0,204110.0,-3271.0
3,10.0,186084.0,44.0,186040.0,-18072.0
4,0.5,162452.0,42.0,162410.0,-23632.0
5,0.5,175554.0,44.0,175510.0,13102.0
