group,objective_mean,objective_std,runtime_mean,gap_ratio
DP_EXACT,84121.0,,,1.0
BRANCH_CUT,97920.0,,122.53880204100278,1.1640375173856707
QUBO_ADAPTIVE,212241.0,4169.046293818287,45.29148027800451,2.5230441863506137
QUBO_FIXED,214648.0,0.0,19.746384985677043,2.5516577311254025
