decompose_strategy,route_postprocess,enable_tw_repair,feasibility_rate,objective_mean,travel_mean,runtime_mean,strategy_signature
multi_start_fusion,two_opt,True,1.0,6290248.4,90.4,128.48236383339972,decompose=multi_start_fusion|post=two_opt|tw_repair=True|qubo_cap=15
depot_distance,two_opt,True,0.8,7043579.2,97.2,42.141218925005525,decompose=depot_distance|post=two_opt|tw_repair=True|qubo_cap=15
depot_distance,or_opt,True,0.8,7475929.6,101.6,57.24094299179269,decompose=depot_distance|post=or_opt|tw_repair=True|qubo_cap=15
multi_start_fusion,none,False,0.6,15244366.0,164.0,24.878092083602677,decompose=multi_start_fusion|post=none|tw_repair=False|qubo_cap=15
depot_distance,none,False,0.6,16018482.6,168.6,8.389005599787925,decompose=depot_distance|post=none|tw_repair=False|qubo_cap=15
multi_start_fusion,or_opt,True,0.4,6995639.4,99.4,92.04145877520789,decompose=multi_start_fusion|post=or_opt|tw_repair=True|qubo_cap=15
distance_tw,two_opt,True,0.4,7439164.4,96.4,51.01246893340722,decompose=distance_tw|post=two_opt|tw_repair=True|qubo_cap=15
distance_tw,or_opt,True,0.4,8379392.0,102.0,43.31492618340417,decompose=distance_tw|post=or_opt|tw_repair=True|qubo_cap=15
distance_tw,none,False,0.0,20737773.0,183.0,9.919956616999116,decompose=distance_tw|post=none|tw_repair=False|qubo_cap=15
